Name ,Team,Age,Market Value(EURO),10,11,12,13,14,average
Ruben Loftus0Cheek,CHE,26,"25,000,000",6.97,6.7,5.84,6.17,6.12,6.36
Mason Mount,CHE,23,"75,000,000",6.28,6.74,6.16,6.18,6.32,6.336
Denis Zakaria,CHE,25,"20,000,000",0,0,0,0,0,0
Hakim Ziyech,CHE,29,"17,000,000",6.81,6.13,5.99,6,6.65,6.316
Conor Gallagher,CHE,22,"32,000,000",6.49,6.1,7.32,6.02,6.58,6.502
Kai Havertz,CHE,23,"70,000,000",6.96,6.21,7.08,6.33,6.22,6.56
Carney Chukwuemeka,CHE,19,"15,000,000",0,0,6.17,6.33,6.01,6.17
Omari Hutchinson,CHE,19,0,0,0,0,0,0,0
Lewis Hall,CHE,18,0,0,0,0,0,0,0
Pierre0Emerick Aubameyang,CHE,33,"12,000,000",5.92,6.44,6.45,6.04,5.9,6.15
Raheem Sterling,CHE,27,"70,000,000",6.78,6.44,6.28,5.89,5.95,6.268
Armando Broja,CHE,21,"30,000,000",6.01,6.36,6.05,6.07,6.11,6.12
Stefan Ortega,MCI,30,"6,000,000",0,0,0,0,0,0
Ederson,MCI,29,"45,000,000",5.96,6.21,7.68,6.16,7.1,6.622
Scott Carson,MCI,37,250k,0,0,0,0,0,0
Kyle Walker,MCI,32,"15,000,000",6.4,6.52,7.4,6.41,6.48,6.642
Rúben Dias,MCI,25,"75,000,000",7.12,6.59,6.32,6.21,6.07,6.462
John Stones,MCI,28,"30,000,000",6.47,7.36,6.79,6.76,6.42,6.76
Nathan Aké,MCI,27,"30,000,000",6.15,6.23,7.48,6.39,6.4,6.53
João Cancelo,MCI,28,"70,000,000",5.84,7.24,6.78,5.01,6.38,6.25
Aymeric Laporte,MCI,28,"38,000,000",0,5.93,6.41,6.68,7.33,5.27
Manuel Akanji,MCI,27,"1,000,000",5.95,6.67,6.77,6.3,6.3,6.398
Rico Lewis,MCI,17,"30,000,000",0,0,6.06,6.44,6.1,6.2
Josh Wilson0Esbrand,MCI,19,0,0,0,0,0,0,0
Kalvin Phillips,MCI,26,"45,000,000",0,0,0,0,6.05,6.05
Ilkay Gündogan,MCI,32,"25,000,000",7.3,7.22,6.73,7.47,5.83,6.91
Jack Grealish,MCI,27,"70,000,000",8.08,6.81,6.42,6.95,6.06,6.864
Rodri,MCI,26,"80,000,000",7.46,7,7.35,7.22,7.12,7.23
Kevin De Bruyne,MCI,31,"80,000,000",6.38,8.05,8.16,8.2,7.31,7.62
Bernardo Silva,MCI,28,"80,000,000",6.59,7.3,6.78,6.79,7.01,6.894
Sergio Gómez,MCI,22,"15,000,000",6.01,6.34,6.24,7,6.07,6.332
Phil Foden,MCI,22,"110,000,000",7.54,6.13,6.12,6.3,7.82,6.782
Cole Palmer,MCI,20,"15,000,000",6.66,6.13,6.03,6.34,6.02,6.236
Ben Knight,MCI,20,0,0,0,0,0,0,0
Erling Haaland,MCI,22,"170,000,000",10,8.85,8.03,7.79,6.76,8.286
Julián Álvarez,MCI,22,"32,000,000",6.09,6.07,6.14,7.62,6.22,6.428
Riyad Mahrez,MCI,31,"30,000,000",5.91,6.35,6.07,7.92,6.54,6.558
Hugo Lloris,TOT,35,"7,000,000",7.89,5.54,6.71,6.75,6.18,6.614
Fraser Forster,TOT,34,"1,500,000",0,0,0,0,0,0
Brandon Austin,TOT,23,300k,0,0,0,0,0,0
Matt Doherty,TOT,30,"12,000,000",6.96,6.72,6.11,6.35,6.52,6.532
Davinson Sánchez,TOT,26,"25,000,000",6.28,6.11,6.38,6.1,6.33,6.24
